League,Year,Decade,RS,RA,RD,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
1,2012,2010,734,688,46,81,0.328,0.418,0.259,0,162,0.317,0.415
1,2012,2010,700,600,100,94,0.32,0.389,0.247,1,162,0.306,0.378
0,2012,2010,712,705,7,93,0.311,0.417,0.247,1,162,0.315,0.403
0,2012,2010,734,806,-72,69,0.315,0.415,0.26,0,162,0.331,0.428
1,2012,2010,613,759,-146,61,0.302,0.378,0.24,0,162,0.335,0.424
0,2012,2010,748,676,72,85,0.318,0.422,0.255,0,162,0.319,0.405
1,2012,2010,669,588,81,97,0.315,0.411,0.251,1,162,0.305,0.39
0,2012,2010,667,845,-178,68,0.324,0.381,0.251,0,162,0.336,0.43
1,2012,2010,758,890,-132,64,0.33,0.436,0.274,0,162,0.357,0.47
0,2012,2010,726,670,56,88,0.335,0.422,0.268,1,162,0.314,0.402
1,2012,2010,583,794,-211,55,0.302,0.371,0.236,0,162,0.337,0.427
0,2012,2010,676,746,-70,72,0.317,0.4,0.265,0,162,0.339,0.423
0,2012,2010,767,699,68,89,0.332,0.433,0.274,0,162,0.31,0.403
1,2012,2010,637,597,40,86,0.317,0.374,0.252,0,162,0.31,0.364
1,2012,2010,609,724,-115,69,0.308,0.382,0.244,0,162,0.327,0.399
1,2012,2010,776,733,43,83,0.325,0.437,0.259,0,162,0.326,0.414
0,2012,2010,701,832,-131,66,0.325,0.39,0.26,0,162,0.333,0.442
1,2012,2010,650,709,-59,74,0.316,0.386,0.249,0,162,0.315,0.401
0,2012,2010,804,668,136,95,0.337,0.453,0.265,1,162,0.311,0.419
0,2012,2010,713,614,99,94,0.31,0.404,0.238,1,162,0.306,0.378
1,2012,2010,684,680,4,81,0.317,0.4,0.255,0,162,0.306,0.407
1,2012,2010,651,674,-23,79,0.304,0.395,0.243,0,162,0.314,0.39
1,2012,2010,651,710,-59,76,0.319,0.38,0.247,0,162,0.319,0.398
0,2012,2010,619,651,-32,75,0.296,0.369,0.234,0,162,0.308,0.394
1,2012,2010,718,649,69,94,0.327,0.397,0.269,1,162,0.313,0.393
1,2012,2010,765,648,117,88,0.338,0.421,0.271,1,162,0.313,0.387
0,2012,2010,697,577,120,90,0.317,0.394,0.24,0,162,0.294,0.352
0,2012,2010,808,707,101,93,0.334,0.446,0.273,1,162,0.309,0.408
0,2012,2010,716,784,-68,73,0.309,0.407,0.245,0,162,0.335,0.438
1,2012,2010,731,594,137,98,0.322,0.428,0.261,1,162,0.303,0.373
1,2011,2010,731,662,69,94,0.322,0.413,0.25,1,162,0.316,0.409
1,2011,2010,641,605,36,89,0.308,0.387,0.243,0,162,0.31,0.361
0,2011,2010,708,860,-152,69,0.316,0.413,0.257,0,162,0.341,0.46
0,2011,2010,875,737,138,90,0.349,0.461,0.28,0,162,0.322,0.392
1,2011,2010,654,756,-102,71,0.314,0.401,0.256,0,162,0.335,0.413
0,2011,2010,654,706,-52,79,0.319,0.388,0.252,0,162,0.317,0.397
1,2011,2010,735,720,15,79,0.326,0.408,0.256,0,162,0.325,0.415
0,2011,2010,704,760,-56,80,0.317,0.396,0.25,0,162,0.323,0.413
1,2011,2010,735,774,-39,73,0.329,0.41,0.258,0,162,0.331,0.431
0,2011,2010,787,711,76,95,0.34,0.434,0.277,1,162,0.321,0.396
1,2011,2010,625,702,-77,72,0.318,0.388,0.247,0,162,0.316,0.401
1,2011,2010,615,796,-181,56,0.311,0.374,0.258,0,162,0.337,0.432
0,2011,2010,730,762,-32,71,0.329,0.415,0.275,0,162,0.337,0.425
0,2011,2010,667,633,34,86,0.313,0.402,0.253,0,162,0.313,0.388
1,2011,2010,644,612,32,82,0.322,0.375,0.257,0,161,0.31,0.371
1,2011,2010,721,638,83,96,0.325,0.425,0.261,1,162,0.304,0.385
0,2011,2010,619,804,-185,63,0.306,0.36,0.247,0,162,0.34,0.435
1,2011,2010,718,742,-24,77,0.335,0.391,0.264,0,162,0.332,0.411
0,2011,2010,867,657,210,97,0.343,0.444,0.263,1,162,0.322,0.399
0,2011,2010,645,679,-34,74,0.311,0.369,0.244,0,162,0.317,0.378
1,2011,2010,713,529,184,102,0.323,0.395,0.253,1,162,0.296,0.361
1,2011,2010,610,712,-102,72,0.309,0.368,0.244,0,162,0.338,0.409
1,2011,2010,593,611,-18,71,0.305,0.349,0.237,0,162,0.314,0.375
0,2011,2010,556,675,-119,67,0.292,0.348,0.233,0,162,0.31,0.386
1,2011,2010,570,578,-8,86,0.303,0.368,0.242,0,162,0.309,0.346
1,2011,2010,762,692,70,90,0.341,0.425,0.273,1,162,0.319,0.398
0,2011,2010,707,614,93,91,0.322,0.402,0.244,1,162,0.303,0.383
0,2011,2010,855,677,178,96,0.34,0.46,0.283,1,162,0.307,0.392
0,2011,2010,743,761,-18,81,0.317,0.413,0.249,0,162,0.328,0.419
1,2011,2010,624,643,-19,80,0.309,0.383,0.242,0,161,0.319,0.382
1,2010,2010,713,836,-123,65,0.325,0.416,0.25,0,162,0.34,0.448
1,2010,2010,738,629,109,91,0.339,0.401,0.258,1,162,0.314,0.376
0,2010,2010,613,785,-172,66,0.316,0.386,0.259,0,162,0.336,0.434
0,2010,2010,818,744,74,89,0.339,0.451,0.268,0,162,0.327,0.399
1,2010,2010,685,767,-82,75,0.32,0.401,0.257,0,162,0.334,0.398
0,2010,2010,752,704,48,88,0.332,0.42,0.268,0,162,0.325,0.395
1,2010,2010,790,685,105,91,0.338,0.436,0.272,1,162,0.323,0.396
0,2010,2010,646,752,-106,69,0.322,0.378,0.248,0,162,0.342,0.416
1,2010,2010,770,717,53,83,0.336,0.425,0.263,0,162,0.326,0.397
0,2010,2010,751,743,8,81,0.335,0.415,0.268,0,162,0.332,0.4
1,2010,2010,719,717,2,80,0.321,0.403,0.254,0,162,0.331,0.398
1,2010,2010,611,729,-118,76,0.303,0.362,0.247,0,162,0.33,0.402
0,2010,2010,676,845,-169,67,0.331,0.399,0.274,0,162,0.342,0.435
0,2010,2010,681,702,-21,80,0.311,0.39,0.248,0,162,0.327,0.403
1,2010,2010,667,692,-25,80,0.322,0.379,0.252,0,162,0.316,0.378
1,2010,2010,750,804,-54,77,0.335,0.424,0.262,0,162,0.338,0.427
0,2010,2010,781,671,110,94,0.341,0.422,0.273,1,162,0.317,0.417
1,2010,2010,656,652,4,79,0.314,0.383,0.249,0,162,0.33,0.394
0,2010,2010,859,693,166,95,0.35,0.436,0.267,1,162,0.322,0.399
0,2010,2010,663,626,37,81,0.324,0.378,0.256,0,162,0.313,0.379
1,2010,2010,772,640,132,97,0.332,0.413,0.26,1,162,0.311,0.405
1,2010,2010,587,866,-279,57,0.304,0.373,0.242,0,162,0.348,0.449
1,2010,2010,665,581,84,90,0.317,0.371,0.246,0,162,0.308,0.368
0,2010,2010,513,698,-185,61,0.298,0.339,0.236,0,162,0.313,0.401
1,2010,2010,697,583,114,92,0.321,0.408,0.257,1,162,0.313,0.37
1,2010,2010,736,641,95,86,0.332,0.402,0.263,0,162,0.319,0.387
0,2010,2010,802,649,153,96,0.333,0.403,0.247,1,162,0.308,0.404
0,2010,2010,787,687,100,90,0.338,0.419,0.276,1,162,0.319,0.39
0,2010,2010,755,728,27,85,0.312,0.454,0.248,0,162,0.326,0.405
1,2010,2010,655,742,-87,69,0.318,0.39,0.25,0,162,0.33,0.41
1,2009,2000,720,782,-62,70,0.324,0.418,0.253,0,162,0.33,0.419
1,2009,2000,735,641,94,86,0.339,0.405,0.263,0,162,0.323,0.39
0,2009,2000,741,876,-135,64,0.332,0.415,0.268,0,162,0.353,0.476
0,2009,2000,872,736,136,95,0.352,0.454,0.27,1,162,0.335,0.422
1,2009,2000,707,672,35,83,0.332,0.407,0.255,0,161,0.324,0.391
0,2009,2000,724,732,-8,79,0.329,0.411,0.258,0,162,0.325,0.414
1,2009,2000,673,723,-50,78,0.318,0.394,0.247,0,162,0.333,0.418
0,2009,2000,773,865,-92,65,0.339,0.417,0.264,0,162,0.351,0.443
1,2009,2000,804,715,89,92,0.343,0.441,0.261,1,162,0.328,0.405
0,2009,2000,743,745,-2,86,0.331,0.416,0.26,0,163,0.336,0.422
1,2009,2000,772,766,6,87,0.34,0.416,0.268,0,162,0.333,0.408
1,2009,2000,643,770,-127,74,0.319,0.4,0.26,0,162,0.344,0.44
0,2009,2000,686,842,-156,65,0.318,0.405,0.259,0,162,0.343,0.422
0,2009,2000,883,761,122,97,0.35,0.441,0.285,1,162,0.338,0.432
1,2009,2000,780,611,169,95,0.346,0.412,0.27,1,162,0.312,0.361
1,2009,2000,785,818,-33,80,0.341,0.426,0.263,0,162,0.345,0.45
0,2009,2000,817,765,52,87,0.345,0.429,0.274,1,163,0.331,0.431
1,2009,2000,671,757,-86,70,0.335,0.394,0.27,0,162,0.342,0.418
0,2009,2000,915,753,162,103,0.362,0.478,0.283,1,162,0.327,0.408
0,2009,2000,759,761,-2,75,0.328,0.397,0.262,0,162,0.329,0.413
1,2009,2000,820,709,111,93,0.334,0.447,0.258,1,162,0.329,0.427
1,2009,2000,636,768,-132,62,0.318,0.387,0.252,0,161,0.346,0.442
1,2009,2000,638,769,-131,75,0.321,0.381,0.242,0,162,0.333,0.406
0,2009,2000,640,692,-52,85,0.314,0.402,0.258,0,162,0.316,0.394
1,2009,2000,657,611,46,88,0.309,0.389,0.257,0,162,0.314,0.372
1,2009,2000,730,640,90,91,0.332,0.415,0.263,1,162,0.319,0.386
0,2009,2000,803,754,49,84,0.343,0.439,0.263,0,162,0.324,0.417
0,2009,2000,784,740,44,87,0.32,0.445,0.26,0,162,0.331,0.416
0,2009,2000,798,771,27,75,0.333,0.44,0.266,0,162,0.339,0.434
1,2009,2000,710,874,-164,59,0.337,0.406,0.258,0,162,0.352,0.45
1,2008,2000,720,706,14,82,0.327,0.415,0.251,0,162,0.318,0.398
1,2008,2000,753,778,-25,72,0.345,0.408,0.27,0,162,0.336,0.423
0,2008,2000,782,869,-87,68,0.333,0.429,0.267,0,161,0.361,0.435
0,2008,2000,845,694,151,95,0.358,0.447,0.28,1,162,0.323,0.39
1,2008,2000,855,671,184,97,0.354,0.443,0.278,1,161,0.316,0.395
0,2008,2000,811,729,82,89,0.332,0.448,0.263,1,163,0.32,0.41
1,2008,2000,704,800,-96,74,0.321,0.408,0.247,0,162,0.345,0.45
0,2008,2000,805,761,44,81,0.339,0.424,0.262,0,162,0.33,0.424
1,2008,2000,747,822,-75,74,0.336,0.415,0.263,0,162,0.344,0.431
0,2008,2000,821,857,-36,74,0.34,0.444,0.271,0,162,0.353,0.437
1,2008,2000,770,767,3,84,0.326,0.433,0.254,0,161,0.333,0.407
1,2008,2000,712,743,-31,86,0.323,0.415,0.263,0,161,0.328,0.44
0,2008,2000,691,781,-90,75,0.32,0.397,0.269,0,162,0.328,0.415
0,2008,2000,765,697,68,100,0.33,0.413,0.268,1,162,0.323,0.406
1,2008,2000,700,648,52,84,0.333,0.399,0.264,1,162,0.315,0.376
1,2008,2000,750,689,61,90,0.325,0.431,0.253,1,162,0.323,0.406
0,2008,2000,829,745,84,88,0.34,0.408,0.279,0,163,0.324,0.431
1,2008,2000,799,715,84,89,0.34,0.42,0.266,0,162,0.331,0.397
0,2008,2000,789,727,62,89,0.342,0.427,0.271,0,162,0.329,0.405
0,2008,2000,646,690,-44,75,0.318,0.369,0.242,0,161,0.328,0.392
1,2008,2000,799,680,119,92,0.332,0.438,0.255,1,162,0.329,0.41
1,2008,2000,735,884,-149,67,0.32,0.403,0.258,0,162,0.362,0.454
1,2008,2000,637,764,-127,63,0.317,0.39,0.25,0,162,0.332,0.409
0,2008,2000,671,811,-140,61,0.318,0.389,0.265,0,162,0.351,0.433
1,2008,2000,640,759,-119,72,0.321,0.382,0.262,0,162,0.341,0.404
1,2008,2000,779,725,54,86,0.35,0.433,0.281,0,162,0.332,0.431
0,2008,2000,774,671,103,97,0.34,0.422,0.26,1,162,0.314,0.4
0,2008,2000,901,967,-66,79,0.354,0.462,0.283,0,162,0.362,0.455
0,2008,2000,714,610,104,86,0.331,0.399,0.264,0,162,0.309,0.38
1,2008,2000,641,825,-184,59,0.323,0.373,0.251,0,161,0.343,0.436
1,2007,2000,712,732,-20,90,0.321,0.413,0.25,1,162,0.334,0.42
1,2007,2000,810,733,77,84,0.339,0.435,0.275,0,162,0.327,0.415
0,2007,2000,756,868,-112,69,0.333,0.412,0.272,0,162,0.354,0.412
0,2007,2000,867,657,210,96,0.362,0.444,0.279,1,162,0.314,0.392
1,2007,2000,752,690,62,85,0.333,0.422,0.271,1,162,0.322,0.399
0,2007,2000,693,839,-146,72,0.318,0.404,0.246,0,162,0.338,0.435
1,2007,2000,783,853,-70,72,0.335,0.436,0.267,0,162,0.343,0.456
0,2007,2000,811,704,107,96,0.343,0.428,0.268,1,162,0.322,0.407
1,2007,2000,860,758,102,90,0.354,0.437,0.28,1,163,0.33,0.423
0,2007,2000,887,797,90,88,0.345,0.458,0.287,0,162,0.338,0.427
1,2007,2000,790,891,-101,71,0.336,0.448,0.267,0,162,0.364,0.442
1,2007,2000,723,813,-90,73,0.33,0.412,0.26,0,162,0.337,0.454
0,2007,2000,706,778,-72,69,0.322,0.388,0.261,0,162,0.339,0.445
0,2007,2000,822,731,91,94,0.345,0.417,0.284,1,162,0.328,0.412
1,2007,2000,735,727,8,82,0.337,0.406,0.275,0,162,0.326,0.399
1,2007,2000,801,776,25,83,0.329,0.456,0.262,0,162,0.333,0.422
0,2007,2000,718,725,-7,79,0.33,0.391,0.264,0,162,0.324,0.431
1,2007,2000,804,750,54,88,0.342,0.432,0.275,0,162,0.329,0.409
0,2007,2000,968,777,191,94,0.366,0.463,0.29,1,162,0.34,0.417
0,2007,2000,741,758,-17,76,0.338,0.407,0.256,0,162,0.329,0.404
1,2007,2000,892,821,71,89,0.354,0.458,0.274,1,162,0.346,0.451
1,2007,2000,724,846,-122,68,0.325,0.411,0.263,0,162,0.352,0.447
1,2007,2000,741,666,75,89,0.322,0.411,0.251,0,163,0.311,0.374
0,2007,2000,794,813,-19,88,0.337,0.425,0.287,0,162,0.349,0.431
1,2007,2000,683,720,-37,71,0.322,0.387,0.254,0,162,0.334,0.405
1,2007,2000,725,829,-104,78,0.337,0.405,0.274,0,162,0.336,0.431
0,2007,2000,782,944,-162,66,0.336,0.433,0.268,0,162,0.358,0.467
0,2007,2000,816,844,-28,75,0.328,0.426,0.263,0,162,0.356,0.423
0,2007,2000,753,699,54,83,0.327,0.419,0.259,0,162,0.315,0.391
1,2007,2000,673,783,-110,73,0.325,0.39,0.256,0,162,0.339,0.433
1,2006,2000,773,788,-15,76,0.331,0.424,0.267,0,162,0.335,0.431
1,2006,2000,849,805,44,79,0.337,0.455,0.27,0,162,0.343,0.438
0,2006,2000,768,899,-131,70,0.339,0.424,0.277,0,162,0.357,0.462
0,2006,2000,820,825,-5,86,0.351,0.435,0.269,0,162,0.343,0.447
1,2006,2000,716,834,-118,66,0.319,0.422,0.268,0,162,0.342,0.431
0,2006,2000,868,794,74,90,0.342,0.464,0.28,0,162,0.326,0.44
1,2006,2000,749,801,-52,80,0.336,0.432,0.257,0,162,0.337,0.457
0,2006,2000,870,782,88,78,0.349,0.457,0.28,0,162,0.335,0.431
1,2006,2000,813,812,1,76,0.341,0.433,0.27,0,162,0.346,0.438
0,2006,2000,822,675,147,95,0.329,0.449,0.274,1,162,0.321,0.405
1,2006,2000,758,772,-14,78,0.331,0.435,0.264,0,162,0.347,0.423
1,2006,2000,735,719,16,82,0.332,0.409,0.255,0,162,0.319,0.421
0,2006,2000,757,971,-214,62,0.332,0.411,0.271,0,162,0.367,0.476
0,2006,2000,766,732,34,89,0.334,0.425,0.274,0,162,0.316,0.402
1,2006,2000,820,751,69,88,0.348,0.432,0.276,1,162,0.33,0.418
1,2006,2000,730,833,-103,75,0.327,0.42,0.258,0,162,0.333,0.438
0,2006,2000,801,683,118,96,0.347,0.425,0.287,1,162,0.312,0.423
1,2006,2000,834,731,103,97,0.334,0.445,0.264,1,162,0.323,0.407
0,2006,2000,930,767,163,97,0.363,0.461,0.285,1,162,0.326,0.413
0,2006,2000,771,727,44,93,0.34,0.412,0.26,1,162,0.338,0.422
1,2006,2000,865,812,53,85,0.347,0.447,0.267,0,162,0.339,0.46
1,2006,2000,691,797,-106,67,0.327,0.397,0.263,0,162,0.357,0.431
1,2006,2000,731,679,52,88,0.332,0.416,0.263,1,162,0.312,0.404
0,2006,2000,756,792,-36,78,0.325,0.424,0.272,0,162,0.337,0.432
1,2006,2000,746,790,-44,76,0.324,0.422,0.259,0,161,0.337,0.415
1,2006,2000,781,762,19,83,0.337,0.431,0.269,1,161,0.337,0.443
0,2006,2000,689,856,-167,61,0.314,0.42,0.255,0,162,0.358,0.452
0,2006,2000,835,784,51,80,0.338,0.446,0.278,0,162,0.341,0.424
0,2006,2000,809,754,55,87,0.348,0.463,0.284,0,162,0.328,0.422
1,2006,2000,746,872,-126,71,0.338,0.418,0.262,0,162,0.349,0.447
1,2005,2000,696,856,-160,77,0.332,0.421,0.256,0,162,0.345,0.455
1,2005,2000,769,674,95,90,0.333,0.435,0.265,1,162,0.333,0.406
0,2005,2000,729,800,-71,74,0.327,0.434,0.269,0,162,0.336,0.416
0,2005,2000,910,805,105,95,0.357,0.454,0.281,1,162,0.335,0.441
1,2005,2000,703,714,-11,79,0.324,0.44,0.27,0,162,0.325,0.407
0,2005,2000,741,645,96,99,0.322,0.425,0.262,1,162,0.31,0.397
1,2005,2000,820,889,-69,73,0.339,0.446,0.261,0,163,0.352,0.483
0,2005,2000,790,642,148,93,0.334,0.453,0.271,0,162,0.302,0.387
1,2005,2000,740,862,-122,67,0.333,0.411,0.267,0,162,0.362,0.457
0,2005,2000,723,787,-64,71,0.321,0.428,0.272,0,162,0.33,0.436
1,2005,2000,717,732,-15,83,0.339,0.409,0.272,0,162,0.339,0.402
1,2005,2000,693,609,84,89,0.322,0.408,0.256,1,163,0.308,0.389
0,2005,2000,701,935,-234,56,0.32,0.396,0.263,0,162,0.362,0.463
0,2005,2000,761,643,118,95,0.325,0.409,0.27,1,162,0.312,0.401
1,2005,2000,685,755,-70,71,0.326,0.395,0.253,0,162,0.327,0.429
1,2005,2000,726,697,29,81,0.331,0.423,0.259,0,162,0.324,0.408
0,2005,2000,688,662,26,83,0.323,0.391,0.259,0,162,0.307,0.408
1,2005,2000,722,648,74,83,0.322,0.416,0.258,0,162,0.321,0.387
0,2005,2000,886,789,97,95,0.355,0.45,0.276,1,162,0.332,0.422
0,2005,2000,772,658,114,88,0.33,0.407,0.262,0,162,0.311,0.382
1,2005,2000,807,726,81,88,0.348,0.423,0.27,0,162,0.32,0.426
1,2005,2000,680,769,-89,67,0.322,0.4,0.259,0,162,0.344,0.424
1,2005,2000,684,726,-42,82,0.333,0.391,0.257,1,162,0.322,0.408
0,2005,2000,699,751,-52,69,0.317,0.391,0.256,0,162,0.332,0.422
1,2005,2000,649,745,-96,75,0.319,0.396,0.261,0,162,0.336,0.412
1,2005,2000,805,634,171,100,0.339,0.423,0.27,1,162,0.318,0.398
0,2005,2000,750,936,-186,67,0.329,0.425,0.274,0,162,0.355,0.455
0,2005,2000,865,858,7,79,0.329,0.468,0.267,0,162,0.343,0.428
0,2005,2000,775,705,70,80,0.331,0.407,0.265,0,162,0.324,0.418
1,2005,2000,639,673,-34,81,0.322,0.386,0.252,0,162,0.333,0.396
0,2004,2000,836,734,102,92,0.341,0.429,0.282,1,162,0.326,0.415
1,2004,2000,615,899,-284,51,0.31,0.393,0.253,0,162,0.35,0.439
1,2004,2000,803,668,135,96,0.343,0.434,0.27,1,162,0.329,0.4
0,2004,2000,842,830,12,78,0.345,0.432,0.281,0,162,0.348,0.404
0,2004,2000,949,768,181,98,0.36,0.472,0.282,1,162,0.318,0.408
1,2004,2000,789,665,124,89,0.328,0.458,0.268,0,162,0.321,0.395
0,2004,2000,865,831,34,83,0.333,0.457,0.268,0,162,0.338,0.453
1,2004,2000,750,907,-157,76,0.331,0.418,0.25,0,162,0.348,0.481
0,2004,2000,858,857,1,80,0.351,0.444,0.276,0,162,0.342,0.445
1,2004,2000,833,923,-90,68,0.345,0.455,0.275,0,162,0.372,0.471
0,2004,2000,827,844,-17,72,0.337,0.449,0.272,0,162,0.34,0.441
1,2004,2000,718,700,18,83,0.329,0.406,0.264,0,162,0.324,0.412
1,2004,2000,803,698,105,92,0.342,0.436,0.267,1,162,0.328,0.417
0,2004,2000,720,905,-185,58,0.322,0.397,0.259,0,162,0.352,0.476
1,2004,2000,761,684,77,93,0.332,0.423,0.262,1,162,0.323,0.408
1,2004,2000,634,757,-123,67,0.321,0.387,0.248,0,161,0.32,0.417
0,2004,2000,780,715,65,92,0.332,0.431,0.266,1,162,0.323,0.406
1,2004,2000,635,769,-134,67,0.313,0.392,0.249,0,162,0.342,0.431
1,2004,2000,684,731,-47,71,0.317,0.409,0.249,0,162,0.335,0.405
0,2004,2000,897,808,89,101,0.353,0.458,0.268,1,162,0.328,0.432
0,2004,2000,793,742,51,91,0.343,0.433,0.27,0,162,0.332,0.409
1,2004,2000,840,781,59,86,0.345,0.443,0.267,0,162,0.33,0.448
1,2004,2000,680,744,-64,72,0.321,0.401,0.26,0,161,0.342,0.416
1,2004,2000,768,705,63,87,0.342,0.414,0.273,0,162,0.318,0.431
0,2004,2000,698,823,-125,63,0.331,0.396,0.27,0,162,0.338,0.441
1,2004,2000,850,770,80,91,0.357,0.438,0.27,0,162,0.332,0.423
1,2004,2000,855,659,196,105,0.344,0.46,0.278,1,162,0.313,0.403
0,2004,2000,714,842,-128,70,0.32,0.405,0.258,0,161,0.342,0.438
0,2004,2000,860,794,66,89,0.329,0.457,0.266,0,162,0.344,0.432
0,2004,2000,719,823,-104,67,0.328,0.403,0.26,0,161,0.348,0.434
0,2003,2000,736,743,-7,77,0.33,0.413,0.268,0,162,0.327,0.421
1,2003,2000,717,685,32,84,0.33,0.417,0.263,0,162,0.322,0.388
1,2003,2000,907,740,167,101,0.349,0.475,0.284,1,162,0.327,0.401
0,2003,2000,743,820,-77,71,0.323,0.405,0.268,0,163,0.346,0.446
0,2003,2000,961,809,152,95,0.36,0.491,0.289,1,162,0.327,0.415
